id,roster_year,player_number,first_name,last_name,year,position1,height,weight,home_town,state_or_country,high_school,alternative_school,college,college_league,bio_link,is_starter,accolade
6539,2018,49,Matt,Freese,Sophomore,Goalkeeper,6'4,195,Bryn Mawr,PA,The Episcopal Academy,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2018-19/bios/freese_matt_qgni,Y,
6540,2010,24,Matt,Frongello,Freshman,Forward,6'1,178,Raleigh,NC,Middle Creek,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=2141,,
6541,2011,11,Matt,Frongello,Freshman,Forward,6'1,178,Raleigh,NC,Middle Creek,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=2562,N,
6542,2012,11,Matt,Frongello,Sophomore,Forward,6'1,178,Raleigh,NC,Middle Creek,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=3112,N,
6543,2013,11,Matt,Frongello,Junior,Forward,6'1,178,Raleigh,NC,Middle Creek,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=3420,N,
6544,2014,11,Matt,Frongello,Senior,Forward,6'1,178,Raleigh,NC,Middle Creek,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=3831,N,
6545,2012,12,Matt,Gilbert,Freshman,Goalkeeper,6'4,175,Madison,NJ,Madison,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3113,,
6546,2013,12,Matt,Gilbert,Freshman,Goalkeeper,6'4,175,Madison,NJ,Madison,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3086,Y,
6547,2013,12,Matt,Gilbert,Freshman,Goalkeeper,6'4,175,Madison,NJ,Madison,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3086,Y,
6548,2014,12,Matt,Gilbert,Sophomore,Goalkeeper,6'4,175,Madison,NJ,Madison,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3051,,
6549,2015,12,Matt,Gilbert,Junior,Goalkeeper,6'4,175,Madison,NJ,Madison,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3017,Y,First Team
6550,2016,12,Matt,Gilbert,Senior,Goalkeeper,6'4,190,Madison,NJ,Madison,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=6700,Y,Second Team
6551,2016,4,Matt,Gillis,Freshman,Midfielder,5'10,150,Nottingham,MD,Loch Raven,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2016-17/bios/plewes_john_rifc,,
6552,2017,16,Matt,Gillis,Sophomore,Midfielder,5'10,160,Nottingham,MD,Loch Raven,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2017-18/bios/mcconnell_oscar_upp3,Y,
6553,2018,8,Matt,Gillis,Junior,Midfielder,5'10,160,Nottingham,MD,Loch Raven,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2018-19/bios/mino_john_j69w,N,
6554,2014,10,Matt,Greer,Freshman,Midfielder,5'9,160,Chadds Ford,PA,Unionville,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=16229,N,
6555,2015,10,Matt,Greer,Sophomore,Midfielder,5'9,160,Chadds Ford,PA,Unionville,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=16230,Y,
6556,2016,10,Matt,Greer,Junior,Midfielder,5'9,160,Chadds Ford,PA,Unionville,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=16231,Y,
6557,2013,23,Matt,Habrowski,Freshman,Defender,6'2,175,Berkley,MI,Brother Rice High School,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4856,,
6558,2014,4,Matt,Habrowski,Sophomore,Defender,6'2,175,Berkley,MI,Brother Rice High School,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4830,N,
6559,2015,4,Matt,Habrowski,Junior,Defender,6'2,175,Berkley,MI,Brother Rice High School,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4793,Y,
6560,2016,4,Matt,Habrowski,Senior,Defender,6'2,189,Berkley,MI,Brother Rice High School,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4765,Y,
6561,2017,4,Matt,Habrowski,Graduate,Defender,6'2,189,Berkley,MI,Brother Rice High School,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=9100,,
6562,2009,13,Matt,Hammett,Freshman,Midfielder,5'10,150,Centennial,CO,Smoky Hill,,Georgetown University,BIG EAST,http://georgetown.sidearmsports.com/roster.aspx?rp_id=4415,N,
6563,2011,20,Matt,Harlow,Freshman,Defender,5'7,140,Gaithersburg,MD,Thomas S. Wootton,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2011-12/bios/collins_tyler,N,
6564,2012,20,Matt,Harlow,Sophomore,Defender,5'7,140,Gaithersburg,MD,Thomas S. Wootton,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2012-13/bios/behm_peter,N,
6565,2015,15,Matt,Hatter,Freshman,Midfielder,6'1,162,Redding,CA,University Preparatory School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2015-16/bios/hatter_matt_2mx8,,
6566,2016,15,Matt,Hatter,Sophomore,Midfielder,6'1,162,Redding,CA,University Preparatory School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2016-17/bios/hatter_matt_7smh,,
6567,2017,17,Matt,Hatter,Junior,Midfielder,6'1,162,Redding,CA,University Preparatory School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2017-18/bios/hatter_matt_9ewx,N,
6568,2018,7,Matt,Hatter,Senior,Midfielder,6'1,162,Redding,CA,University Preparatory School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2018-19/bios/hatter_matt_6zc3,N,
6569,2011,16,Matt,Kagie,Freshman,Forward,5'8,157,Greenwood Village,CO,Cherry Creek High School,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=24114&path=msoccer,Y,
6570,2012,16,Matt,Kagie,Sophomore,Forward,5'8,157,Greenwood Village,CO,Cherry Creek High School,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=30042&path=msoccer,,
6571,2018,21,Matt,Kehrl,Freshman,Defender,6'0,180,Bethesda,MD,Walter Johnson,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3116,,
6572,2011,0,Matt,Kerman,Freshman,Goalkeeper,6'1,175,East Setauket,NY,Ward Melville,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2011-12/bios/collins_tyler,,
6573,2012,0,Matt,Kerman,Sophomore,Goalkeeper,6'1,175,East Setauket,NY,Ward Melville,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2012-13/bios/behm_peter,,
6574,2013,0,Matt,Kerman,Junior,Goalkeeper,6'1,175,East Setauket,NY,Ward Melville,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2013-14/bios/agre_sam_jvzu,,
6575,2014,0,Matt,Kerman,Senior,Goalkeeper,6'1,175,East Setauket,NY,Ward Melville,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2014-15/bios/kerman_matt,,
6576,2008,22,Matt,Kosik,Freshman,Defender,6'1,,Emmaus,PA,,Emmaus,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4985,N,
6577,2009,23,Matt,Kosik,Sophomore,Defender,6'1,,Emmaus,PA,,Emmaus,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=5531,,
6578,2006,18,Matt,Laning,Freshman,Defender,5'9,165,Southborough,MA,Algonquin Regional High School,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=5531,Y,
6579,2007,22,Matt,Laning,Sophomore,Defender,5'9,165,Southborough,MA,Algonquin Regional High School,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=5511,N,
6580,2008,23,Matt,Laning,Junior,Defender,5'9,165,Southborough,MA,Algonquin Regional High School,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=5485,N,
6581,2009,23,Matt,Laning,Senior,Defender,5'9,165,Southborough,MA,Algonquin Regional High School,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=102,Y,
6582,2011,25,Matt,Leach,Freshman,Midfielder,5'8,145,Southlake,TX,Carroll High School,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=23559&path=msoccer,N,
6583,2012,25,Matt,Leach,Sophomore,Midfielder,5'8,145,Southlake,TX,Carroll High School,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=30044&path=msoccer,,
6584,2018,13,Matt,Leigh,Freshman,Forward,6'0,,Holliston,MA,St. Mark's School (NEFC),,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=13116,N,
6585,2008,1,Matt,Makowski,Sophomore,Goalkeeper,6'4,200,Quakertown,PA,Faith Christian Academy,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/mtt/baker_ryan00.html,Y,
6586,2009,1,Matt,Makowski,Sophomore,Goalkeeper,6'4,200,Quakertown,PA,Faith Christian Academy,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2009-10/bios/abaie_zach,Y,
6587,2010,1,Matt,Makowski,Junior,Goalkeeper,6'4,200,Quakertown,PA,Faith Christian Academy,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2010-11/bios/collins_tyler,Y,Second Team
